video_id,video_title,author,comment_text
LD_Kjh7ZhMU,Are you ready?👀👁️,Michael Myers,Completely average body
LD_Kjh7ZhMU,Are you ready?👀👁️,Storyus,"No, i’m not ready and will never. Get out of my bed."
LD_Kjh7ZhMU,Are you ready?👀👁️,Fo0lzZz,That don’t recommend channel is looking mighty fine right now
LD_Kjh7ZhMU,Are you ready?👀👁️,The family man,it&#39;s a trap
LD_Kjh7ZhMU,Are you ready?👀👁️,D Lee,Go into your birthday suite next time!
LD_Kjh7ZhMU,Are you ready?👀👁️,Aeternus Maximus,What type of pillow is that
LD_Kjh7ZhMU,Are you ready?👀👁️,lucas marte,Entendi nada kkkkkkk
LD_Kjh7ZhMU,Are you ready?👀👁️,Musical Elements,Isn’t that the jackfrostminer into I hear!!!
LD_Kjh7ZhMU,Are you ready?👀👁️,Mariano,&quot;Another wanderer here to lick my father&#39;s boots?&quot;
LD_Kjh7ZhMU,Are you ready?👀👁️,John Dauz,The pilow is big
LD_Kjh7ZhMU,Are you ready?👀👁️,The Marcel,Gdzie jest krzyż
LD_Kjh7ZhMU,Are you ready?👀👁️,John steven,FBI OPEN UP
LD_Kjh7ZhMU,Are you ready?👀👁️,Shik,I what the fuck is the world coming to 🤦‍♂️
LD_Kjh7ZhMU,Are you ready?👀👁️,Rick Earth Brigadier,&quot;ok im ready &quot;<br>-Rick Earth -<br>1999-2022
LD_Kjh7ZhMU,Are you ready?👀👁️,Muhammad Zakriya,In starting I was thinking about something else
LD_Kjh7ZhMU,Are you ready?👀👁️,Happy moses Nag,"raha nahi zaraha ,etni  kya zaldi ha"
LD_Kjh7ZhMU,Are you ready?👀👁️,Rushi Ladane,who is she
LD_Kjh7ZhMU,Are you ready?👀👁️,DeathNote,Who is She👻???
LD_Kjh7ZhMU,Are you ready?👀👁️,Daniel Coco,Wow has content got dulled
LD_Kjh7ZhMU,Are you ready?👀👁️,prince akash,Yes i am redy for you.
LD_Kjh7ZhMU,Are you ready?👀👁️,SmokeyOwOs,Cringe
LD_Kjh7ZhMU,Are you ready?👀👁️,Khang Oliver,God damn it I just exit google 😅😅😅
LD_Kjh7ZhMU,Are you ready?👀👁️,Hoshang Haris,She need My facial
LD_Kjh7ZhMU,Are you ready?👀👁️,Glizz,I hope you got the views you were desperately needing!
LD_Kjh7ZhMU,Are you ready?👀👁️,Шамиль АХтямов,Ссылка на тикток или <br>Инсту есть?
LD_Kjh7ZhMU,Are you ready?👀👁️,Ben Roth Less Monster Burgers,Young and heavy already...💯
LD_Kjh7ZhMU,Are you ready?👀👁️,Keen Voong,Her height gotta be at least a 3 if she staring up like that
LD_Kjh7ZhMU,Are you ready?👀👁️,Calina Watson,I’m so lost
LD_Kjh7ZhMU,Are you ready?👀👁️,JF Manaois,How to download this video?
LD_Kjh7ZhMU,Are you ready?👀👁️,Loren Sweatman,The internet is a demon possessing some of y’all understand I’m not joking
LD_Kjh7ZhMU,Are you ready?👀👁️,Paqihudin Real,Are you on this xvideos ?
LD_Kjh7ZhMU,Are you ready?👀👁️,Gurjeet Singh,What&#39;s her name?
LD_Kjh7ZhMU,Are you ready?👀👁️,Green Hornet,Born ready
LD_Kjh7ZhMU,Are you ready?👀👁️,NativeSkater1000,I’m good👍🏽
LD_Kjh7ZhMU,Are you ready?👀👁️,redpanda drift9,I&#39;m ready
LD_Kjh7ZhMU,Are you ready?👀👁️,Ajaykumar Arumugam,Beautiful😍😍😍😍😍😍😍 face
LD_Kjh7ZhMU,Are you ready?👀👁️,Treyo Pajuh,I❣️👅
LD_Kjh7ZhMU,Are you ready?👀👁️,Brenden Cunningham,Remember master oogways teachings and stay strong my fellow students.
LD_Kjh7ZhMU,Are you ready?👀👁️,Valatiea,I wouldnt last 1 minute. She woulda been in cuffs going to jaik
LD_Kjh7ZhMU,Are you ready?👀👁️,BABABOOEY,POV: You’re a helicopter
LD_Kjh7ZhMU,Are you ready?👀👁️,BABABOOEY,Jiggle physics
LD_Kjh7ZhMU,Are you ready?👀👁️,Extreme2240,Grab the bleach boys
LD_Kjh7ZhMU,Are you ready?👀👁️,Riny C,Cool and now
LD_Kjh7ZhMU,Are you ready?👀👁️,NESGTorro,💦💦💦💦💦
LD_Kjh7ZhMU,Are you ready?👀👁️,Raghuveer Thullibilli,"Nowadays, people are becoming famous for all the wrong reasons, and I don’t know why YouTube is recommending these videos to me"
LD_Kjh7ZhMU,Are you ready?👀👁️,Vanlalchhanchhuaha Botany,Damn she needs like really NEED to workout
LD_Kjh7ZhMU,Are you ready?👀👁️,Mriganko Pal,I am ready 😍
LD_Kjh7ZhMU,Are you ready?👀👁️,duduman05,3.2 million views.... Easy being a woman lol
LD_Kjh7ZhMU,Are you ready?👀👁️,f!shd3m4n,"Clothes up, everything i need is ur smile"
LD_Kjh7ZhMU,Are you ready?👀👁️,INFERNO Fire,Proud father moment
LD_Kjh7ZhMU,Are you ready?👀👁️,Matías,Malísimo
LD_Kjh7ZhMU,Are you ready?👀👁️,GG Gusko Gamer,Beautiful😍
LD_Kjh7ZhMU,Are you ready?👀👁️,Эрлан Зулпуев,✊👈🏼
LD_Kjh7ZhMU,Are you ready?👀👁️,JOÃO SILVA,"<a href=""https://youtu.be/Sid6DGQu14U"">https://youtu.be/Sid6DGQu14U</a> i"
LD_Kjh7ZhMU,Are you ready?👀👁️,nobhiker,Don’t objectify me ….. oh wait.
LD_Kjh7ZhMU,Are you ready?👀👁️,UnknownUser,Ofc im ready to destroy u in krunker .io😂
LD_Kjh7ZhMU,Are you ready?👀👁️,A little bit of Flexter,Men of culture where are you?
LD_Kjh7ZhMU,Are you ready?👀👁️,12. Nguyên Khang,i’m not
LD_Kjh7ZhMU,Are you ready?👀👁️,Its me DenCio,😳😳😳 hoh
LD_Kjh7ZhMU,Are you ready?👀👁️,AVICI01,Elon when the fuck are you gonna build that rocket to Mars please I can&#39;t stand this world anymore
LD_Kjh7ZhMU,Are you ready?👀👁️,Artemio Flores,I was 100% sure there was gunna be a jump scare
LD_Kjh7ZhMU,Are you ready?👀👁️,kamitoni tongi,Ready for what🤔
LD_Kjh7ZhMU,Are you ready?👀👁️,Jimmy Dgaf,SO MUCH TALENT
LD_Kjh7ZhMU,Are you ready?👀👁️,Powder,where is master oogway when you need him
LD_Kjh7ZhMU,Are you ready?👀👁️,Zeemtify,name?
LD_Kjh7ZhMU,Are you ready?👀👁️,Adib Khan,Mmmmh
LD_Kjh7ZhMU,Are you ready?👀👁️,пндр васил,жэнщины…
LD_Kjh7ZhMU,Are you ready?👀👁️,Willy Sy,name pls
LD_Kjh7ZhMU,Are you ready?👀👁️,Milad S,That easy
LD_Kjh7ZhMU,Are you ready?👀👁️,アニメトレーラー出版,"&quot;Daddy, why mommy always locked her room?&quot;"
LD_Kjh7ZhMU,Are you ready?👀👁️,Roberio Menezes,😍😍😍 baby
LD_Kjh7ZhMU,Are you ready?👀👁️,Christofer Moraes,&quot;Era só isso&quot;? (Everson Zóio)
LD_Kjh7ZhMU,Are you ready?👀👁️,Kenneth Gallard,Ugh if only
